company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
ZEBRONICS,3.9,61,8959,22999,0,80 cm (32 inch),2024,20 W,1 Year
Hisense,4.2,47,41999,79999,233.625,164 cm (65 inch),2024,24 W,1 Year
Kenstar,4.4,59,22299,54999,26,127 cm (50 inch),2025,24 W,1 year
Hisense,4.3,55,44999,99999,233.625,164 cm (65 inch),2025,20 W,Unknown
Reliance,4,61,17490,44990,35,109 cm (43 inch),2025,24 W,1 Year
realme,4.4,52,26699,56199,45,127 cm (50 inch),2024,30 W,Unknown
IMPEX,3.9,61,13907,35990,12,109 cm (43 inch),2024,20 W,1 Year
Foxsky,4.1,74,24999,97990,2,139 cm (55 inch),2023,30 W,1-Year
Samsung,4.4,52,10989,22900,5,80 cm (32 inch),2020,20 W,2 Year
Hisense,4.3,56,25999,59999,233.625,126 cm (50 inch),2023,24 W,Unknown
Sansui,4.2,45,26689,48690,233.625,127 cm (50 inch),2023,20 W,1 Year
Panasonic,4.3,34,32150,48990,56,127 cm (50 inch),2025,20 W,1 year
Blaupunkt,4.4,42,13799,23999,3,100 cm (40 inch),2023,48 W,1 Year
Blaupunkt,4.2,36,25999,40999,68,139 cm (55 inch),2025,48 W,1 Year
Blaupunkt,4.4,54,22999,49999,3,Unknown,2022,60 W,1 Year
Samsung,3.9,37,79990,128900,8,189 cm (75 inch),2025,20 W,2 Year
Hisense,4.3,53,27999,59999,233.625,126 cm (50 inch),2025,20 W,Unknown
MOTOROLA,4.4,53,50999,109999,105,165 cm (65 inch),2024,20 W,1 year
ONIDA,4.1,39,28569,46990,70,68 cm (55 inch),2024,24 W,1 Year
Hisense,4.2,44,24999,44999,233.625,8 cm (43 inch),2025,48 W,1 Year
Sansui,4.2,44,11990,21490,233.625,80 cm (32 inch),2023,20 W,1 Year
TCL,4.4,63,112839.75,201562.5,6,190 cm (75 inch),2025,60 W,Unknown
Uniboom,4,69,12599,40990,14,108 cm (43 inch),2025,30 W,1 Year
Hisense,4.2,52,21433,44990,233.625,108 cm (43 inch),2024,30 W,Unknown
TCL,4.2,58,40978,98990,12,164 cm (55 inch),2025,35 W,Unknown
Infinix,4.3,49,30399,59999,70,138 cm (55 inch),2022,36 W,1 Year
Bush,4.2,53,13823,29990,12,108 cm (43 inch),2025,12 W,1 Year
Hisense,4.2,58,49999,119999,47,164 cm (65 inch),2024,24 W,Unknown
MOTOROLA,4.2,56,10490,23899,233.625,80 cm (32 inch),2025,20 W,1 year
TCL,4.1,70,69999,201562.5,46,189 cm (75 inch),2025,35 W,Unknown
Bush,4.2,61,7769,19990,12,80 cm (32 inch),2025,20 W,1 Year
TCL,4.2,59,72990,179990,19,139 cm (55 inch),2025,60 W,Unknown
Acer,4.2,49,23517,46999,233.625,108 cm (43 inch),2024,30 W,1 Year
Samsung,4.3,36,37990,59800,1,138 cm (55 inch),2024,20 W,2 Year
Acer,4,36,13989,21990,2,01 cm (32 inch),2024,20 W,Unknown
Hisense,4.2,49,15290,29999,233.625,100 cm (40 inch),2025,20 W,1 Year
